top - 16:26:32 up 3 days, 10:14,  1 user,  load average: 0.59, 0.60, 0.44
Tasks: 351 total,   2 running, 278 sleeping,   3 stopped,   0 zombie
%Cpu(s): 33.3 us, 10.0 sy,  0.0 ni, 56.0 id,  0.5 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8082552 total,   133808 free,  4978888 used,  2969856 buff/cache
KiB Swap:  2097148 total,  1581148 free,   516000 used.  2686732 avail Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1731 bhaskar   20   0  859052  32300  18188 S   0.0  0.4   0:07.77 nautilus-d+
 1849 colord    20   0  324996   3996   3140 S   0.0  0.0   0:00.15 colord
 1858 bhaskar   20   0 1922472  67448  38328 S   0.0  0.8   0:15.44 nautilus
 1887 bhaskar   20   0  891484   4284   3588 S   0.0  0.1   0:00.24 evolution-+
 1890 bhaskar   20   0  368496   3284   2132 S   0.0  0.0   0:03.20 gvfsd-trash
 1933 bhaskar   20   0  205016   2572   2144 S   0.0  0.0   0:37.99 ibus-engin+
 1951 bhaskar   20   0 1135604   4076   2600 S   0.0  0.1   0:00.97 evolution-+
 1954 bhaskar   20   0  188148   2248   1576 S   0.0  0.0   0:00.37 dconf-serv+
 1957 root      20   0  557432   8292   4656 S   0.0  0.1   0:04.67 fwupd
 1968 bhaskar   20   0  732696   2192   1960 S   0.0  0.0   0:00.03 evolution-+
 1980 bhaskar   20   0 1017204   3168   2460 S   0.0  0.0   0:00.63 evolution-+
 2222 bhaskar   20   0   82744    576    444 S   0.0  0.0   0:00.01 obexd
 2470 bhaskar   20   0  596484  17968  12256 S   0.0  0.2   0:04.80 update-not+
 2552 root      20   0       0      0      0 I   0.0  0.0   0:01.51 kworker/5:2
 3731 bhaskar   20   0 96.748g   4012   3216 S   0.0  0.0   0:00.61 deja-dup-m+
 4947 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/6:2
 5004 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/32-mei+
 5005 root      20   0       0      0      0 S   0.0  0.0   0:00.00 nvidia
 5357 bhaskar   20   0  204700   2620   2040 S   0.0  0.0   0:00.04 gvfsd-meta+
 5682 root      20   0   25656   5964   4736 S   0.0  0.1   0:00.02 dhclient
 5791 bhaskar   20   0  857908 123576  72184 S   0.0  1.5   0:08.60 chrome
